,pa,ID,set,lon,lat
392,1,392,0,-87.8526,41.9766
393,1,393,0,-86.86,33.93
394,1,394,0,-87.46,33
395,1,395,0,-87.44,34.33
396,1,396,0,-87.98,34.67
397,1,397,0,-86.99,33.7
398,1,398,0,-85.62,34.39
399,1,399,0,-94.2858,34.5077
400,1,400,0,-92.8192,43.7396
401,1,401,1,-73.9099,40.7074
402,1,402,0,-73.7954,41.8599
403,1,403,0,-90.6381,43.5811
404,1,404,0,-93.7311,37.1772
405,1,405,0,-90.5194,37.9861
406,1,406,1,-84.9892,45.4294
407,1,407,0,-73.2626,43.5941
408,1,408,0,-80.5969,40.1635
409,1,409,0,-74.9148,42.0519
410,1,410,0,-79.2161,38.4784
411,1,411,1,-73.9056,40.8915
412,1,412,0,-81.309,41.1871
413,1,413,0,-71.3883,44.184
414,1,414,0,-95.0511,46.9767
415,1,415,0,-72.9477,44.1135
416,1,416,0,-71.2538,44.2579
417,1,417,0,-81.1406,37.5306
418,1,418,0,-71.1383,43.9759
419,1,419,1,-72.7173,43.4018
420,1,420,0,-87.8926,41.717
421,1,421,0,-94.3583,46.4123
422,1,422,0,-83.1568,42.113
423,1,423,0,-72.3362,42.6774
424,1,424,0,-86.0635,44.8399
425,1,425,0,-85.5874,43.1112
426,1,426,0,-72.3583,43.8295
427,1,427,0,-77.1061,39.1124
428,1,428,0,-72.1258,42.16
429,1,429,0,-74.0326,40.8864
430,1,430,0,-73.3981,43.5763
431,1,431,0,-71.2193,44.3326
432,1,432,0,-85.0539,45.1869
433,1,433,0,-74.6356,41.3667
434,1,434,0,-93.2283,36.8628
435,1,435,0,-84.8628,30.6642
436,1,436,0,-73.5934,41.188
437,1,437,0,-81.479,36.6174
438,1,438,0,-107.7669,32.9072
439,1,439,0,-94.6867,46.003
440,1,440,0,-74.6977,40.8029
441,1,441,0,-87.7413,41.9795
442,1,442,0,-72.3708,43.9226
443,1,443,0,-84.7164,37.9184
444,1,444,0,-84.5435,43.1389
445,1,445,0,-73.9294,41.7789
446,1,446,0,-75.9398,41.6594
447,1,447,0,-73.2187,43.822
448,1,448,0,-74.2829,43.4022
449,1,449,1,-82.1018,39.3275
450,1,450,0,-88.4406,41.7852
451,1,451,0,-84.4604,42.6891
452,1,452,0,-87.7294,46.7854
453,1,453,0,-76.8161,38.9993
454,1,454,0,-73.2159,44.3717
455,1,455,0,-72.7086,42.6195
456,1,456,0,-87.911,42.1809
457,1,457,0,-85.8093,42.8757
458,1,458,0,-71.3358,42.2528
459,1,459,0,-90.6361,34.6051
460,1,460,0,-94.636,31.8288
461,1,461,0,-86.996,33.7072
462,1,462,0,-80.4938,35.4614
463,1,463,0,-72.9478,42.6498
464,1,464,0,-73.1916,43.2388
465,1,465,1,-73.5748,41.2087
466,1,466,0,-76.5563,42.3982
467,1,467,0,-72.5136,44.8401
468,1,468,0,-71.1135,42.3257
469,1,469,0,-89.0244,41.296
470,1,470,1,-71.1078,42.4311
471,1,471,0,-87.556,37.8836
472,1,472,0,-82.0729,39.344
473,1,473,0,-72.3115,42.5218
474,1,474,0,-80.7715,41.0484
475,1,475,0,-87.488,46.6263
476,1,476,0,-69.1241,44.6097
477,1,477,0,-92.4096,46.0482
478,1,478,0,-85.9174,35.1419
479,1,479,0,-76.7707,39.4304
480,1,480,0,-74.3232,40.7484
481,1,481,0,-71.8954,44.5558
482,1,482,0,-73.0156,44.0054
483,1,483,0,-76.0862,42.7763
484,1,484,0,-88.1472,39.4036
485,1,485,0,-86.4717,36.9529
486,1,486,0,-95.5278,47.0936
487,1,487,0,-86.9199,46.4517
488,1,488,0,-89.7608,42.5871
489,1,489,0,-93.39,44.6872
490,1,490,0,-89.8635,46.033
491,1,491,0,-87.4292,32.9573
492,1,492,0,-71.2704,44.0551
493,1,493,0,-84.8226,30.7024
494,1,494,0,-72.2022,42.5078
495,1,495,0,-88.2426,35.7057
496,1,496,0,-72.182,42.5273
497,1,497,0,-83.4647,35.058
498,1,498,0,-87.3857,32.92
499,1,499,0,-88.16,39.3972
500,1,500,0,-71.3225,44.027
501,1,501,0,-80.5226,37.3788
502,1,502,0,-80.424,41.675
503,1,503,0,-74.6934,40.7837
504,1,504,0,-74.5163,40.2148
505,1,505,0,-82,28
506,1,506,0,-88.1249,45.8063
507,1,507,0,-72.1924,44.618
508,1,508,0,-85.5805,35.0268
509,1,509,1,-90.2586,38.6108
510,1,510,0,-93.6737,35.1694
511,1,511,0,-81.3542,36.2524
512,1,512,0,-79.2828,36.3456
513,1,513,0,-90.7908,40.4512
514,1,514,0,-89.27,46.295
515,1,515,0,-72.658,42.5733
516,1,516,0,-91.129,42.9892
517,1,517,1,-94.1616,36.1063
518,1,518,0,-72.3294,43.7014
519,1,519,0,-75.6697,39.8732
520,1,520,0,-91.0998,46.1885
521,1,521,0,-84.678,39.1028
522,1,522,0,-71.5819,43.7562
523,1,523,0,-87.5431,46.6395
524,1,524,0,-87.6298,46.6546
525,1,525,0,-79.5023,39.8676
526,1,526,0,-93.4168,45.1656
527,1,527,0,-84.9636,39.7979
528,1,528,0,-88.1552,41.761
529,1,529,0,-85.812,36.105
530,1,530,0,-88.5056,41.635
531,1,531,0,-73.2325,44.4966
532,1,532,1,-72.655,41.7573
533,1,533,0,-72.1632,41.9326
534,1,534,0,-73.0931,44.2589
535,1,535,0,-95.0534,34.5124
536,1,536,0,-83.7887,43.343
537,1,537,0,-83.975,44.4433
538,1,538,0,-83.6867,46.0202
539,1,539,0,-83.6758,44.4463
540,1,540,0,-84.4956,44.8355
541,1,541,0,-86.0206,45.1429
542,1,542,0,-93.9184,34.4031
543,1,543,0,-94.423,36.4648
544,1,544,0,-93.925,36.4488
545,1,545,0,-94.2186,36.0247
546,1,546,0,-72.7019,41.905
547,1,547,0,-72.5583,41.9761
548,1,548,0,-73.4783,41.7547
549,1,549,0,-84.7395,39.5762
550,1,550,0,-92.7672,37.9747
551,1,551,0,-89.5003,37.3375
552,1,552,0,-94.3989,35.7895
553,1,553,0,-94.0098,35.9425
554,1,554,0,-94.6863,34.393
555,1,555,0,-94.5938,34.6844
556,1,556,0,-82.42,39.98
557,1,557,0,-84.3554,39.2613
558,1,558,0,-74.5499,41.2599
559,1,559,0,-82.8301,34.6749
560,1,560,0,-87.8763,47.4403
561,1,561,0,-74.8875,41.2295
562,1,562,0,-70.8887,43.0388
563,1,563,0,-83.1515,35.4842
564,1,564,0,-76.0333,42.0917
565,1,565,0,-90.34,43.31
566,1,566,0,-73.61,41.46
567,1,567,0,-90.8661,43.105
568,1,568,0,-75.1772,40.9847
569,1,569,0,-73.875,42.1831
570,1,570,0,-90.74,43.14
571,1,571,0,-77.0094,40.6564
572,1,572,0,-95.1277,32.5493
573,1,573,0,-72.3974,44.5438
574,1,574,0,-83.4698,35.6269
575,1,575,0,-72.8044,43.5561
576,1,576,0,-83.6756,41.1202
577,1,577,0,-89.8164,43.4505
578,1,578,1,-76.1364,43.035
579,1,579,0,-88.9778,37.5428
580,1,580,0,-79.7389,40.3949
581,1,581,0,-93.67,40.1
582,1,582,0,-89.3814,37.288
583,1,583,0,-89.6653,46.1521
584,1,584,0,-87.8496,41.047
585,1,585,0,-74.6095,41.5927
586,1,586,0,-86.456,43.4587
587,1,587,0,-86.9554,34.5074
588,1,588,0,-85.7165,32.9853
589,1,589,0,-85.9571,33.8343
590,1,590,0,-80.7588,35.3235
591,1,591,0,-79.3765,39.5594
592,1,592,0,-84.7572,38.9898
593,1,593,0,-73.8822,40.9024
594,1,594,0,-74.5464,41.0382
595,1,595,0,-81.2133,41.5787
596,1,596,0,-72.1545,44.7269
597,1,597,0,-79.4085,39.6574
598,1,598,0,-73.1656,44.3647
599,1,599,0,-72.4817,43.5829
600,1,600,0,-85.3869,39.3272
601,1,601,0,-71.5704,44.481
602,1,602,1,-86.7994,36.1435
603,1,603,0,-87.0071,36.3838
604,1,604,0,-83.9084,40.8999
605,1,605,0,-90.8211,38.4731
606,1,606,0,-91.6286,37.0414
607,1,607,0,-81.6164,36.4054
608,1,608,0,-81.1238,35.3103
609,1,609,0,-81.5186,36.4226
610,1,610,0,-85.5894,42.3457
611,1,611,0,-76.9432,38.8949
612,1,612,0,-85.5997,43.0418
613,1,613,0,-74.7318,40.7473
614,1,614,0,-77.3114,38.8256
615,1,615,0,-79.9516,37.2342
616,1,616,1,-72.8304,41.9958
617,1,617,0,-90.8752,41.4681
618,1,618,0,-90.6238,34.5952
619,1,619,0,-73.8272,44.3797
620,1,620,0,-93.6837,44.8821
621,1,621,0,-90.2,37.4353
622,1,622,1,-72.2536,41.8092
623,1,623,0,-73.2369,41.4761
624,1,624,0,-74.9119,41.0764
625,1,625,1,-72.1242,41.5597
626,1,626,0,-73.1306,41.3461
627,1,627,0,-73.3014,41.2658
628,1,628,0,-71.2709,43.5883
629,1,629,0,-74.5206,42.1606
630,1,630,0,-71.482,44.2062
631,1,631,0,-74.2208,41.7206
632,1,632,0,-74.0893,41.8312
633,1,633,0,-73.5631,42.6045
634,1,634,0,-98.3556,35.4569
635,1,635,0,-76.51,42.55
636,1,636,0,-93.2273,31.0944
637,1,637,0,-88.01,35.54
638,1,638,0,-82.5656,36.0777
639,1,639,0,-89.6174,40.8402
640,1,640,1,-74.1466,40.5404
641,1,641,0,-72.6786,43.6846
642,1,642,0,-73.197,44.733
643,1,643,0,-83.2453,36.4343
644,1,644,0,-71.1426,42.1637
645,1,645,0,-72.6481,42.6301
646,1,646,0,-85.202,46.6054
647,1,647,0,-93.1987,45.4014
648,1,648,0,-68.0193,46.6705
649,1,649,0,-74.1961,44.2728
650,1,650,0,-79.9401,40.4362
651,1,651,0,-73.2606,42.4303
652,1,652,0,-90.2422,43.2208
653,1,653,0,-73.8458,41.2677
654,1,654,0,-72.6514,41.5731
655,1,655,0,-82.0104,36.1679
656,1,656,0,-71.1715,43.6154
657,1,657,0,-89.484,40.955
658,1,658,1,-87.6795,37.9654
659,1,659,0,-77.578,43.0207
660,1,660,0,-86.1066,37.1851
661,1,661,0,-90.698,38.0825
662,1,662,0,-88.2947,44.1549
663,1,663,0,-73.3156,43.9847
664,1,664,0,-83.1175,42.5994
665,1,665,0,-89.1318,46.4099
666,1,666,0,-84.0167,42.4658
667,1,667,0,-87.9022,47.3965
668,1,668,0,-88.9906,36.6639
669,1,669,1,-71.4547,42.2592
670,1,670,1,-79.0708,43.0811
671,1,671,0,-92.1412,46.7717
672,1,672,0,-78.5561,38.2648
673,1,673,0,-81.6393,41.2698
674,1,674,0,-72.7838,44.531
675,1,675,0,-73.6229,43.4705
676,1,676,0,-72.7072,44.7043
677,1,677,0,-70.5801,44.2179
678,1,678,0,-73.5413,41.3929
679,1,679,0,-77.7824,42.7471
680,1,680,0,-75.1966,40.2181
681,1,681,0,-91.1683,37.9517
682,1,682,0,-91.9958,38.9472
683,1,683,0,-84.2683,37.9006
684,1,684,0,-94.8709,37.9573
685,1,685,0,-83.5806,35.1683
686,1,686,0,-85.6289,44.3053
687,1,687,0,-72.5255,43.1323
688,1,688,0,-84.4504,39.0743
689,1,689,0,-72.4699,42.3183
690,1,690,1,-74.7744,40.2692
691,1,691,0,-72.9682,43.8401
692,1,692,0,-104.0221,44.5539
693,1,693,0,-92.1122,38.3989
694,1,694,0,-91.2167,39.6
